Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ortalama Yakıt Tüketimi,Yakıt Deposu
1.550.000 TL,MINI,Cooper Clubman,1.5 Salt,2019,32.000 km,Otomatik,Benzin,Station wagon,Gri,1499 cc,136 hp,Önden Çekiş,"5,3 lt",48 lt
2.895.000 TL,Volvo,V90 Cross Country,2.0 D D5 Pro,2020,72.500 km,Otomatik,Dizel,Station wagon,Gri,1969 cc,235 hp,4WD (Sürekli),"5,3 lt",60 lt
2.365.000 TL,Volvo,V90 Cross Country,2.0 D D5 Pro,2020,143.000 km,Otomatik,Dizel,Station wagon,Füme,1969 cc,235 hp,4WD (Sürekli),"5,3 lt",60 lt
1.600.000 TL,BMW,5 Serisi,525d xDrive xDrive,2015,330.000 km,Otomatik,Dizel,Station wagon,Siyah,1995 cc,218 hp,4WD (Sürekli),"5,1 lt",70 lt
700.000 TL,Renault,Clio,0.9 TCe Sport Tourer Touch,2020,70.000 km,Düz,Benzin,Station wagon,Gri (Gümüş),898 cc,90 hp,Önden Çekiş,"5,1 lt",45 lt
685.000 TL,Renault,Clio,0.9 TCe Sport Tourer Joy,2020,26.250 km,Düz,Benzin,Station wagon,Beyaz,898 cc,90 hp,Önden Çekiş,"5,1 lt",45 lt
710.000 TL,Renault,Clio,0.9 TCe Sport Tourer Joy,2020,29.500 km,Düz,Benzin,Station wagon,Kırmızı,898 cc,90 hp,Önden Çekiş,"5,1 lt",45 lt
610.000 TL,Volvo,V50,1.6 D,2007,280.000 km,Düz,Dizel,Station wagon,Siyah,1560 cc,109 hp,Önden Çekiş,5 lt,55 lt
3.875.000 TL,BMW,3 Serisi,320d xDrive Touring M Sport,2022,21.341 km,Otomatik,Dizel,Station wagon,Siyah,1995 cc,190 hp,4WD (Sürekli),"4,9 lt",40 lt
1.970.000 TL,Skoda,Octavia,1.5 e-Tec Sportline,2023,24.000 km,Yarı Otomatik,Hibrit,Station wagon,Füme,1498 cc,150 hp,Önden Çekiş,"4,9 lt",48 lt
2.850.000 TL,Audi,A4,A4 Allroad Quattro 2.0 TDI,2021,69.000 km,Yarı Otomatik,Dizel,Station wagon,Siyah,1968 cc,204 hp,4WD (Sürekli),"4,8 lt",58 lt
429.000 TL,Ford,Focus,1.6 TDCi Ghia,2006,310.000 km,Düz,Dizel,Station wagon,Gri (Gümüş),1560 cc,110 hp,Önden Çekiş,"4,8 lt",55 lt
345.000 TL,Ford,Focus,1.6 TDCi Trend,2005,350.000 km,Düz,Dizel,Station wagon,Mavi (metalik),1560 cc,110 hp,Önden Çekiş,"4,8 lt",55 lt
365.000 TL,Opel,Astra,1.3 CDTI Enjoy,2009,356.000 km,Düz,Dizel,Station wagon,Siyah,1248 cc,90 hp,Önden Çekiş,"4,8 lt",52 lt
449.000 TL,Peugeot,207,1.6 HDi Outdoor,2008,252.000 km,Düz,Dizel,Station wagon,Gri,1560 cc,91 hp,Önden Çekiş,"4,7 lt",50 lt
449.000 TL,Peugeot,207,1.6 HDi Outdoor,2008,252.000 km,Düz,Dizel,Station wagon,Gri,1560 cc,91 hp,Önden Çekiş,"4,7 lt",50 lt
396.000 TL,Peugeot,207,1.6 HDi Outdoor,2009,299.000 km,Düz,Dizel,Station wagon,Gri (metalik),1560 cc,91 hp,Önden Çekiş,"4,7 lt",50 lt
915.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,240.000 km,Yarı Otomatik,Dizel,Station wagon,Gri,1598 cc,105 hp,Önden Çekiş,"4,6 lt",70 lt
725.000 TL,Volkswagen,Passat Variant,1.6 TDi BlueMotion Comfortline,2013,291.500 km,Yarı Otomatik,Dizel,Station wagon,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",70 lt
895.000 TL,Volkswagen,Passat Variant,1.6 TDi BlueMotion Comfortline,2014,200.000 km,Yarı Otomatik,Dizel,Station wagon,Siyah,1598 cc,105 hp,Önden Çekiş,"4,6 lt",70 lt
1.465.000 TL,Ford,Focus,1.5 TDCi Active X,2023,17.000 km,Otomatik,Dizel,Station wagon,Lacivert,1500 cc,115 hp,Önden Çekiş,"4,5 lt",47 lt
425.000 TL,Renault,Clio,1.5 dCi Grandtour Authentique,2010,208.000 km,Düz,Dizel,Station wagon,Bej,1461 cc,65 hp,Önden Çekiş,"4,5 lt",55 lt
2.800.000 TL,Audi,A6,A6 Avant 2.0 TDI Quattro,2018,205.000 km,Yarı Otomatik,Dizel,Station wagon,Siyah,1968 cc,190 hp,4WD (Sürekli),"4,4 lt",73 lt
