Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ortalama Yakıt Tüketimi,Yakıt Deposu
1.290.000 TL,BMW,3 Serisi,320d Standart,2013,152.500 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,184 hp,Arkadan İtiş,"4,5 lt",57 lt
1.200.000 TL,Honda,Civic,1.5 i-VTEC RS,2017,165.000 km,Otomatik,Benzin,Sedan,Kırmızı,1498 cc,182 hp,Önden Çekiş,6 lt,46 lt
765.000.000 TL,Fiat,500 Ailesi,500L 1.6 Mjet Lounge,2021,81.200 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),İkinci El,"
",Takasa Uygun Değil,,
1.435.000 TL,Toyota,Corolla,1.8 Hybrid Flame X-Pack,2022,31.000 km,Otomatik,Hibrit,Sedan,Gri (metalik),1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.420.000 TL,Seat,Leon,1.0 eTSI Style,2023,11.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Kırmızı,999 cc,110 hp,Önden Çekiş,"5,3 lt",45 lt
1.045.000 TL,Mercedes - Benz,C,C 180 Avantgarde,2012,225.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,İkinci El,"
",Sahibinden,,
1.125.661 TL,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,98.000 km,Yarı Otomatik,Benzin,Sedan,Mavi,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt
1.795.000 TL,Honda,Civic,1.5 i-VTEC Eco Executive Plus,2023,22.500 km,Otomatik,LPG & Benzin,Sedan,Siyah,1498 cc,129 hp,Önden Çekiş,"6,5 lt",47 lt
1.225.000 TL,Toyota,Corolla,1.5 Dream,2021,19.000 km,Otomatik,Benzin,Sedan,Beyaz,1490 cc,125 hp,Önden Çekiş,"5,8 lt",50 lt
1.218.000 TL,Renault,Megane,1.3 TCe Touch,2023,27.000 km,Yarı Otomatik,Benzin,Sedan,Füme,1332 cc,140 hp,Önden Çekiş,"5,3 lt",50 lt
1.400.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2018,64.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,"4,2 lt",50 lt
1.215.000 TL,Hyundai,i20,1.4 MPI Elite,2024,8.500 km,Otomatik,Benzin,Hatchback/5,Beyaz,1368 cc,100 hp,Önden Çekiş,"6,1 lt",40 lt
1.019.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2015,136.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1598 cc,110 hp,Önden Çekiş,"3,8 lt",50 lt
1.285.000 TL,Audi,A4,A4 Sedan 1.4 TFSI Dynamic,2016,239.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1395 cc,150 hp,Önden Çekiş,"5,2 lt",54 lt
1.450.000 TL,Mercedes - Benz,CLA,200 AMG,2013,85.000 km,Otomatik,Benzin,Beyaz,Coupe,1595 cc,156 hp,Önden Çekiş,"5,1 lt",50 lt
1.355.000 TL,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2017,58.000 km,Düz,Benzin,Sedan,Beyaz,1395 cc,125 hp,Önden Çekiş,"5,3 lt",66 lt
1.050.000 TL,Opel,Astra,1.4 T Excellence,2016,89.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1399 cc,150 hp,Önden Çekiş,"5,5 lt",52 lt
1.050.000 TL,Volkswagen,VW CC,1.4 TSi,2016,258.000 km,Yarı Otomatik,LPG & Benzin,Beyaz,Coupe,1395 cc,150 hp,Önden Çekiş,"5,6 lt",70 lt
1.550.000 TL,BMW,3 Serisi,320i ED 40th Year Edition,2016,163.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,170 hp,Arkadan İtiş,"5,3 lt",60 lt
1.240.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2017,129.000 km,Otomatik,Dizel,Sedan,Beyaz,1601 - 1800 cm3,İkinci El,"
",Sahibinden,
1.190.000 TL,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2016,205.000 km,Otomatik,Dizel,Sedan,Beyaz,1601 - 1800 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.110.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,184.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt
1.549.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2019,39.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt
1.550.000 TL,Renault,Megane,1.3 TCe Icon,2023,7.100 km,Otomatik,Benzin,Sedan,Lacivert,İkinci El,"
",Takasa Uygun Değil,,
1.400.000 TL,BMW,5 Serisi,520i Premium,2014,177.000 km,Otomatik,Benzin,Sedan,Beyaz,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt
1.100.000 TL,Renault,Megane,1.5 Blue DCI Touch,2019,77.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1461 cc,115 hp,Önden Çekiş,"4,2 lt",49 lt
1.350.000 TL,Audi,A6,A6 Sedan 2.0 TDI,2009,128.950 km,Otomatik,Dizel,Sedan,Gri,1968 cc,140 hp,Önden Çekiş,"6,2 lt",70 lt
1.100.000 TL,Toyota,Corolla,1.6 Dream,2020,40.500 km,Otomatik,LPG & Benzin,Sedan,Gri (metalik),1598 cc,132 hp,Önden Çekiş,"5,5 lt",50 lt
1.150.000 TL,Toyota,Corolla,1.8 Hybrid Dream,2021,63.000 km,Otomatik,Hibrit,Hatchback/5,Gri,1798 cc,98 hp,Önden Çekiş,"3,5 lt",43 lt
1.250.000 TL,Volkswagen,VW CC,1.4 TSi,2016,160.000 km,Yarı Otomatik,Benzin,Gri (metalik),Coupe,1395 cc,150 hp,Önden Çekiş,"5,6 lt",70 lt
1.015.000 TL,BMW,5 Serisi,520d Premium,2008,240.000 km,Otomatik,Dizel,Sedan,Siyah,1995 cc,177 hp,Arkadan İtiş,"6,1 lt",70 lt
910.000.000 TL,Renault,Megane,1.5 dCi Touch,2019,185.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt
1.250.000 TL,Volkswagen,VW CC,1.4 TSi,2016,93.000 km,Otomatik,Benzin,Coupe,Gri,İkinci El,"
",Sahibinden,,
1.070.000 TL,Honda,City,1.5 i-VTEC Executive,2022,19.000 km,Otomatik,Benzin,Sedan,Kahverengi,1498 cc,121 hp,Önden Çekiş,"6,2 lt",40 lt
1.840.000 TL,Audi,A3,A3 Sedan 35 TFSI Advanced,2022,91.000 km,Yarı Otomatik,Hibrit,Sedan,Gri,1498 cc,150 hp,Önden Çekiş,"4,9 lt",50 lt
1.400.000 TL,Mercedes - Benz,C,C 200 d BlueTEC Fascination,2016,224.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt
1.500.000 TL,Mercedes - Benz,C,C 200 d BlueTEC AMG,2016,181.000 km,Otomatik,Dizel,Sedan,Gri,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt
1.180.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2017,200.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,4 lt,59 lt
1.050.000 TL,Honda,City,1.5 i-VTEC Executive,2022,16.500 km,Otomatik,Benzin,Sedan,Füme,1498 cc,121 hp,Önden Çekiş,"6,2 lt",40 lt
1.200.000 TL,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2014,24.000 km,Düz,Benzin,Sedan,Beyaz,1390 cc,122 hp,Önden Çekiş,"5,9 lt",70 lt
1.095.000 TL,Nissan,Pulsar,1.5 Visia,2016,59.700 km,Düz,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.539.000 TL,Volkswagen,Passat Variant,1.5 TSI Business,2023,39.000 km,Otomatik,Benzin,Station wagon,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.429.000 TL,Volkswagen,Passat,1.5 TSi Business,2020,105.000 km,Otomatik,Benzin,Sedan,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.569.000 TL,Skoda,SuperB,1.5 TSI Elite,2022,109.000 km,Otomatik,Benzin,Sedan,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.699.000 TL,Volkswagen,Passat Variant,1.5 TSI Elegance,2023,38.000 km,Otomatik,Benzin,Station wagon,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.479.000 TL,Volkswagen,Passat,1.5 TSi Business,2020,61.000 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.470.000 TL,Audi,A4,A4 Sedan 1.4 TFSI Dynamic,2017,127.500 km,Otomatik,Benzin,Sedan,Beyaz,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.500.000 TL,BMW,5 Serisi,525d xDrive Comfort,2012,350.000 km,Otomatik,Dizel,Sedan,Siyah,1995 cc,218 hp,4WD (Sürekli),"5,1 lt",70 lt
4.925.000 TL,Volvo,S90,2.0 T8 Plus Dark,2023,6.100 km,Otomatik,LPG & Benzin,Sedan,Siyah,1969 cc,455 hp,4WD (Sürekli),"0,8 lt",60 lt
1.025.000 TL,Renault,Megane,1.5 Blue DCI Touch,2020,127.500 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
2.250.000 TL,BMW,5 Serisi,520i Luxury Line,2018,111.600 km,Otomatik,Benzin,Sedan,Siyah,1597 cc,170 hp,Arkadan İtiş,"6,5 lt",68 lt
1.315.000 TL,Audi,A3,A3 Sedan 30 TDI Design,2019,114.000 km,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Belirtilmemiş,Takasa Uygun Değil
4.250.000 TL,BMW,4 Serisi,420i Edition M Sport,2023,18.500 km,Otomatik,Benzin,Sedan,Gri (metalik),1597 cc,170 hp,Arkadan İtiş,"7,3 lt",59 lt
1.045.025 TL,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2017,94.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.299.000 TL,Skoda,SuperB,1.6 TDI Style,2019,130.000 km,Otomatik,Dizel,Sedan,Füme,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.520.000 TL,Audi,A3,A3 Sportback 35 TFSI Advanced,2022,44.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Beyaz,1498 cc,150 hp,Önden Çekiş,5 lt,50 lt
1.299.000 TL,Honda,Civic,1.6 i-VTEC ECO Elegance,2021,91.600 km,Otomatik,LPG & Benzin,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.139.000 TL,Volkswagen,Golf,1.5 TSi Comfortline,2020,88.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.080.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2017,180.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.265.000 TL,Volkswagen,Polo,1.0 Life,2023,6.088 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,95 hp,Önden Çekiş,5 lt,40 lt
1.150.000 TL,Renault,Megane,1.5 Blue DCI Icon,2020,139.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.050.000 TL,Mercedes - Benz,C,C 180 AMG,2012,247.000 km,Otomatik,Benzin,Sedan,Beyaz,1796 cc,156 hp,Arkadan İtiş,"6,7 lt",67 lt
1.478.000 TL,BMW,5 Serisi,520i Premium,2015,198.500 km,Otomatik,Benzin,Sedan,Beyaz,1592 cc,170 hp,Arkadan İtiş,"6,7 lt",70 lt
2.090.000 TL,Skoda,SuperB,1.5 TSI Prestige,2023,35.000 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.265.000 TL,Seat,Leon,1.5 EcoTSI FR,2018,80.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.590.000 TL,Mercedes - Benz,C,C 200 d BlueTEC AMG,2016,147.000 km,Otomatik,Dizel,Sedan,Siyah,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt
1.669.000 TL,Hyundai,Ioniq,6,2023,10.556 km,Otomatik,Elektrik,Sedan,Siyah,-,151 - 175 HP,Arkadan İtiş,"
",Takasa Uygun Değil
1.365.000 TL,BMW,5 Serisi,520d M Sport,2012,269.000 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,184 hp,Arkadan İtiş,"5,2 lt",70 lt
1.100.000 TL,BMW,3 Serisi,316i Technology,2013,158.000 km,Otomatik,Benzin,Sedan,Siyah,1598 cc,136 hp,Arkadan İtiş,"5,8 lt",60 lt
1.769.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Business,2019,63.900 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.395.000 TL,BMW,3 Serisi,320i ED 40th Year Edition,2015,143.000 km,Otomatik,Benzin,Sedan,Füme,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,Belirtilmemiş,Takasa Uygun
1.830.000 TL,Volkswagen,Passat,1.5 TSi Elegance,2020,93.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.250.000 TL,Audi,A4,A4 Sedan 2.0 TDI Quattro Sport,2016,300.000 km,Otomatik,Dizel,Sedan,Beyaz,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),"
",Takasa Uygun Değil
1.680.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Elegance,2019,192.000 km,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.179.000 TL,Seat,Leon,1.4 EcoTSI FR,2017,124.000 km,Otomatik,Benzin,Hatchback/5,Gri,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.325.000 TL,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015,216.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),"
",Takasa Uygun
1.100.000 TL,Honda,Civic,1.6 i-VTEC Elegance,2018,93.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt
1.073.000 TL,Renault,Megane,1.5 Blue DCI Icon,2021,100.000 km,Otomatik,Dizel,Sedan,Füme,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
3.735.000 TL,Mercedes - Benz,EQE,350+ AMG,2023,15.000 km,Otomatik,Elektrik,Sedan,Beyaz,-,276 - 300 HP,4WD (Sürekli),"
",Takasa Uygun
4.150.000 TL,Mercedes - Benz,E,200 d Exclusive,2023,40.000 km,Otomatik,Dizel,Sedan,Siyah,1597 cc,160 hp,Arkadan İtiş,"4,7 lt",50 lt
1.430.000 TL,Mercedes - Benz,C,C 200 d BlueTEC Comfort,2017,218.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt
1.695.000 TL,Audi,A4,A4 Sedan 1.4 TFSI Design,2018,155.000 km,Otomatik,Benzin,Sedan,Beyaz,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.169.900 TL,Volkswagen,Polo,1.0 TSi Highline,2021,60.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,"
",Takasa Uygun
1.209.000 TL,Toyota,Corolla,1.5 Dream,2021,50.000 km,Otomatik,Benzin,Sedan,Gri,1490 cc,125 hp,Önden Çekiş,"5,8 lt",50 lt
3.175.000 TL,Mercedes - Benz,E,200 d AMG,2020,125.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,"
",Takasa Uygun
3.175.000 TL,Audi,A6,A6 Sedan 40 TDI Quattro Design,2019,145.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),"
",Takasa Uygun
1.275.000 TL,Renault,Megane,1.5 Blue DCI Icon,2020,96.500 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
2.450.000 TL,Mercedes - Benz,E,220 D Exclusive,2016,195.000 km,Otomatik,Dizel,Sedan,Beyaz,1950 cc,194 hp,Arkadan İtiş,"4,3 lt",50 lt
1.475.000 TL,Ford,Focus,1.5 TDCi Titanium X,2023,53.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,115 hp,Önden Çekiş,"4,5 lt",47 lt
1.995.000 TL,Volkswagen,Passat,1.5 TSi Elegance,2020,65.000 km,Otomatik,Benzin,Sedan,Füme,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.175.000 TL,Honda,Civic,1.6 i-VTEC Eco Executive,2018,93.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt
1.699.000 TL,Renault,Megane,1.3 TCe Icon,2024,6.500 km,Otomatik,Benzin,Sedan,Siyah,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.139.000 TL,Ford,Focus,1.5 TDCi Titanium,2020,101.000 km,Otomatik,Dizel,Station wagon,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,3 lt",47 lt
1.100.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2017,190.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Belirtilmemiş,Takasa Uygun
1.295.000 TL,Ford,Focus,1.0 EcoBoost Titanium Stil,2023,18.000 km,Otomatik,LPG & Benzin,Hatchback/5,Gri,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.360.000 TL,Ford,Focus,1.5 TDCi Trend X,2023,60.000 km,Otomatik,Dizel,Sedan,Beyaz,1500 cc,120 hp,Önden Çekiş,"4,5 lt",47 lt
1.065.000 TL,Volkswagen,Polo,1.0 TSi Life,2021,60.000 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,"
",Takasa Uygun
1.700.000 TL,BMW,5 Serisi,525d xDrive Luxury Line,2013,199.000 km,Otomatik,Dizel,Station wagon,Beyaz,1995 cc,218 hp,4WD (Sürekli),"5,4 lt",70 lt
1.030.000 TL,Mercedes - Benz,E,250 CDI Premium,2011,292.000 km,Otomatik,Dizel,Sedan,Siyah,2143 cc,204 hp,4WD (Sürekli),"6,2 lt",59 lt
1.075.000 TL,Volkswagen,Golf,1.2 TSi Comfortline,2013,106.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.175.000 TL,BMW,3 Serisi,320i ED Luxury Line,2014,190.000 km,Otomatik,Benzin,Sedan,Mavi,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,"
",Takasa Uygun
1.525.000 TL,Volkswagen,Golf,1.0 eTSI R Line,2021,49.000 km,Otomatik,LPG & Benzin,Hatchback/5,Kırmızı,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.950.000 TL,BMW,5 Serisi,525d xDrive M Sport,2014,155.500 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,218 hp,4WD (Sürekli),"5,1 lt",70 lt
1.180.000 TL,Mercedes - Benz,C,C 200 d BlueTEC AMG,2014,320.000 km,Otomatik,Dizel,Sedan,Beyaz,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt
1.229.000 TL,Honda,Civic,1.6 i-VTEC Eco Executive,2017,47.000 km,Otomatik,LPG & Benzin,Sedan,Gri,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt
1.249.000 TL,BMW,5 Serisi,525d xDrive Premium,2012,303.000 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,218 hp,4WD (Sürekli),"5,1 lt",70 lt
3.100.000 TL,BMW,5 Serisi,520i Special Edition M Sport,2021,94.000 km,Otomatik,Benzin,Sedan,Gri,1597 cc,170 hp,Arkadan İtiş,"7,1 lt",68 lt
1.350.000 TL,Peugeot,508,1.5 BlueHDI GT Line,2019,140.000 km,Otomatik,Dizel,Sedan,Lacivert,1499 cc,130 hp,Önden Çekiş,"3,8 lt",55 lt
1.450.000 TL,Volkswagen,Golf,1.6 TDi Highline,2018,95.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,Önden Çekiş,İkinci El,55 lt,"
"
1.495.000 TL,Audi,A6,A6 Sedan 2.0 TDI,2015,300.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,176 - 200 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.350.000 TL,Renault,Megane,1.3 TCe Icon,2023,55.000 km,Otomatik,Benzin,Sedan,Füme,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.169.500 TL,Renault,Megane,1.3 TCe Joy,2023,16.000 km,Otomatik,Benzin,Sedan,Beyaz,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
1.379.900 TL,Mercedes - Benz,E,200 Kompressor Avantgarde,2008,250.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1796 cc,184 hp,Arkadan İtiş,"8,9 lt",65 lt
1.995.000 TL,Audi,A4,A4 Sedan 40 TDI Quattro Design,2020,160.000 km,Otomatik,Dizel,Sedan,Beyaz,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),"
",Takasa Uygun
1.165.000 TL,Volkswagen,Polo,1.0 TSi Life,2022,48.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,"
",Takasa Uygun
1.019.000 TL,Opel,Insignia,1.6 CDTI Grand Sport Enjoy,2020,149.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,136 hp,Önden Çekiş,"5,1 lt",62 lt
1.320.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2017,29.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.520.000 TL,BMW,3 Serisi,320i ED 40th Year Edition,2016,151.000 km,Otomatik,Benzin,Sedan,Beyaz,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,"
",Takasa Uygun
1.145.000 TL,Volvo,S60,1.6 D Advance,2014,134.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.076.500 TL,Skoda,SuperB,1.6 TDI Style,2018,145.400 km,Otomatik,Dizel,Sedan,Füme,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
1.498.000 TL,BMW,3 Serisi,320i ED Luxury Line Plus,2014,113.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,170 hp,Arkadan İtiş,"5,3 lt",60 lt
1.115.000 TL,Peugeot,407,2.0 HDi Comfort,2023,6.170 km,Otomatik,Elektrik,Hatchback/5,Kırmızı,-,151 - 175 HP,Arkadan İtiş,"
",Takasa Uygun Değil
1.035.000 TL,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2016,79.400 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,8 lt",50 lt
3.710.000 TL,Audi,A5,A5 Sportback 40 TDI Quattro Advanced,2024,6.300 km,Otomatik,Dizel,Hatchback/5,Gri,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),"
",Takasa Uygun
1.109.900 TL,Honda,Civic,1.6 i-VTEC Executive,2019,102.050 km,Otomatik,LPG & Benzin,Sedan,Mavi,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun Değil
3.305.000 TL,BMW,5 Serisi,520i M Sport,2023,7.600 km,Otomatik,Benzin,Sedan,Gri,1597 cc,170 hp,Arkadan İtiş,"7,1 lt",68 lt
1.020.000 TL,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2015,200.000 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun Değil
38.000.000 TL,McLaren,GT,4.0,2020,31.000 km,Otomatik,Benzin,Coupe,Turuncu,3501 - 4000 cm3,601 hp,Arkadan İtiş,"
",Takasa Uygun
1.130.000 TL,Renault,Clio,1.0 TCe Techno Esprit Alpine,2023,21.500 km,Otomatik,Benzin,Hatchback/5,Gri,999 cc,90 hp,Önden Çekiş,6 lt,42 lt
1.020.000 TL,Honda,Civic,1.6 i-VTEC Eco Executive,2017,165.000 km,Otomatik,LPG & Benzin,Sedan,Füme,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt
1.140.000 TL,Renault,Megane,1.5 Blue DCI Joy,2022,39.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun Değil
1.995.000 TL,Audi,A5,A5 Sportback 1.4 TFSI,2017,189.000 km,Otomatik,Benzin,Hatchback/5,Gri,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,"
",Takasa Uygun
5.100.000 TL,Audi,A6,A6 Sedan 40 TDI Quattro Advanced,2023,8.176 km,Otomatik,Dizel,Sedan,Gri,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),"
",Takasa Uygun Değil
2.250.000 TL,Mercedes - Benz,C,C 200 D AMG,2021,91.000 km,Otomatik,Dizel,Sedan,Gri,1598 cc,160 hp,Arkadan İtiş,"4,2 lt",66 lt
1.328.750 TL,Mercedes - Benz,CLA,180 D AMG,2015,160.000 km,Otomatik,Dizel,Coupe,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,"
",Takasa Uygun
2.200.000 TL,Mercedes - Benz,300,CE,1988,179.000 km,Otomatik,LPG & Benzin,Coupe,Kahverengi,2501 - 3000 cm3,176 - 200 HP,Arkadan İtiş,Belirtilmemiş,Takasa Uygun Değil
1.368.750 TL,Toyota,Corolla,1.8 Hybrid Dream,2023,42.000 km,Otomatik,LPG & Benzin,Sedan,Mavi,1798 cc,98 hp,Önden Çekiş,"4,7 lt",43 lt
